"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099638","endosome to plasma membrane protein transport","8/2383","19/18860",0.421052631578947,3.33237626167811,3.86817148309669,0.00133089907813664,0.0222972195695666,0.0191776611966793,"VPS35/ARHGAP44/ATP6AP1/NSG1/COMMD1/RAB11A/RAB7A/VAMP4",8
"GO:1904505","regulation of telomere maintenance in response to DNA damage","8/2383","19/18860",0.421052631578947,3.33237626167811,3.86817148309669,0.00133089907813664,0.0222972195695666,0.0191776611966793,"ERCC1/UCHL5/TFPT/INO80D/RUVBL2/RTEL1/INO80B/ACTR8",8
"GO:0006637","acyl-CoA metabolic process","25/2383","106/18860",0.235849056603774,1.86660226921828,3.40257791865275,0.00134101619696098,0.0223415539666395,0.01921579285896,"ACOT7/DLD/DLAT/SUCLA2/PDK3/PDHA1/PDHB/TECR/DIP2A/SNCA/ACSL6/MLYCD/ACLY/MPC2/FITM2/SUCLG1/NME1/BCKDK/MCEE/PDK2/PPCS/DBT/PDP1/BCKDHB/GLYAT",25
"GO:0035383","thioester metabolic process","25/2383","106/18860",0.235849056603774,1.86660226921828,3.40257791865275,0.00134101619696098,0.0223415539666395,0.01921579285896,"ACOT7/DLD/DLAT/SUCLA2/PDK3/PDHA1/PDHB/TECR/DIP2A/SNCA/ACSL6/MLYCD/ACLY/MPC2/FITM2/SUCLG1/NME1/BCKDK/MCEE/PDK2/PPCS/DBT/PDP1/BCKDHB/GLYAT",25
"GO:1990823","response to leukemia inhibitory factor","26/2383","112/18860",0.232142857142857,1.83726994784485,3.37970911366541,0.00138922308941567,0.0230803980494309,0.0198512667777029,"MCF2/EEF1E1/FZD4/CACNB4/MRPL15/SOCS3/PML/RPS16/SLC25A5/SRSF3/NFYB/MTF2/NCL/B3GNT2/ADAM23/PFKP/SSTR1/SNX10/ICAM1/TRIM2/NRP2/PIGA/CREB1/NEFH/XRCC5/UBXN2A",26
"GO:0005996","monosaccharide metabolic process","52/2383","272/18860",0.191176470588235,1.51304583940164,3.24120552616447,0.00140697640920129,0.0232976909787513,0.020038158697834,"GOT1/H6PD/MDH2/PFKM/DLAT/PDK3/PDHA1/SLC25A11/PDHB/IGF1/PGAM1/PRKAG2/DDB1/ALDOA/MLYCD/ADPGK/KBTBD2/GAPDH/GPI/LCMT1/TPI1/PRKAA1/ENO2/SORBS1/USP7/IRS2/PFKP/BCKDK/AKR1B1/PDK2/PKM/GPD1/RORA/G6PC3/AKT2/PRKAG1/SESN2/PDX1/LEPR/SLC23A2/RANBP2/SLC2A1/INSR/HK1/SLC35A2/AKT1/FUT8/PTPN2/HMGB1/ARPP19/NLN/MPI",52
"GO:0060218","hematopoietic stem cell differentiation","12/2383","37/18860",0.324324324324324,2.56683036372503,3.62794505166233,0.0014139879326679,0.0232976909787513,0.020038158697834,"YTHDF2/CHD2/PRKDC/N4BP2L2/KAT5/METTL3/ITCH/ABL1/SETD1A/HSPA9/XRCC5/BCL2",12
"GO:1903749","positive regulation of establishment of protein localization to mitochondrion","12/2383","37/18860",0.324324324324324,2.56683036372503,3.62794505166233,0.0014139879326679,0.0232976909787513,0.020038158697834,"PINK1/SAE1/HUWE1/UBE2L3/NPEPPS/PRKAA1/MAPK8/MICALL2/UBE2D3/SH3GLB1/UBL5/FBXW7",12
"GO:0062237","protein localization to postsynapse","16/2383","57/18860",0.280701754385965,2.22158417445208,3.51260676344236,0.00142245150504371,0.0233727539880946,0.0201027197951088,"GPHN/VPS35/EPB41L3/GRIN2A/ARHGAP44/NETO1/DLG1/OLFM1/NSG1/GIT1/RAB11A/TRAF6/ADAM10/ZDHHC15/VAMP4/NETO2",16
"GO:0050000","chromosome localization","28/2383","124/18860",0.225806451612903,1.78712114033544,3.34423094380029,0.00145824139712905,0.0238951830033667,0.0205520568356731,"DCTN2/CUL3/CHMP2B/BECN1/MLH1/KIF22/CDC42/CHMP3/ZWILCH/UBE2B/CCNB1/ZNF207/KAT5/TTL/TERF1/CHMP5/CHMP2A/DYNC1H1/CHAMP1/LMNA/RAB11A/ZW10/NUMA1/TRAPPC12/CHMP4B/IFFO1/ACTR2/SUN1",28
"GO:1903747","regulation of establishment of protein localization to mitochondrion","15/2383","52/18860",0.288461538461538,2.2829981600439,3.52321120005684,0.00146717665735261,0.023975911441601,0.0206214907232736,"PINK1/MAPT/SAE1/HUWE1/UBE2L3/NPEPPS/PRKAA1/MAPK8/MICALL2/BAG4/UBE2D3/SH3GLB1/UBL5/FBXW7/PARL",15
